iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
85,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
86,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
87,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
88,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
89,0.010869565217391304,0.010869565217391304,0.010869565217391304,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
90,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
91,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
92,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
93,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
94,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
95,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
96,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
97,0.01,0.01,0.01,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
98,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
99,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
100,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
101,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
102,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
103,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
104,0.009345794392523364,0.009345794392523364,0.009345794392523364,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
105,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
106,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
107,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
108,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
109,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
110,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
111,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
112,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
113,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
