iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
20,0.391304347826087,0.5217391304347826,0.043478260869565216,0.7999999999999999,0.1,0.1,0.6333333333333333,0.26666666666666666,0.1,1,1,0,LowVerify,1
21,0.4166666666666667,0.5416666666666666,0.041666666666666664,0.8064516129032258,0.0967741935483871,0.0967741935483871,0.6129032258064515,0.29032258064516125,0.0967741935483871,1,1,0,LowVerify,1
22,0.44,0.56,0.04,0.8125,0.09375,0.09375,0.59375,0.3125,0.09375,1,1,0,LowVerify,1
23,0.46153846153846156,0.5769230769230769,0.07692307692307693,0.8181818181818181,0.09090909090909091,0.09090909090909091,0.5757575757575757,0.33333333333333326,0.09090909090909091,1,1,1,LowVerify,1
24,0.48148148148148145,0.5925925925925926,0.1111111111111111,0.823529411764706,0.08823529411764705,0.08823529411764705,0.5588235294117647,0.35294117647058826,0.08823529411764705,1,1,1,LowVerify,1
25,0.5,0.6071428571428571,0.14285714285714285,0.8285714285714286,0.08571428571428572,0.08571428571428572,0.5428571428571428,0.37142857142857144,0.08571428571428572,1,1,1,LowVerify,1
26,0.5172413793103449,0.6206896551724138,0.1724137931034483,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.5277777777777778,0.3888888888888889,0.08333333333333333,1,1,1,LowVerify,1
27,0.5333333333333333,0.6333333333333333,0.2,0.8378378378378379,0.08108108108108109,0.08108108108108109,0.5135135135135136,0.40540540540540543,0.08108108108108109,1,1,1,LowVerify,1
28,0.5483870967741935,0.6451612903225806,0.22580645161290322,0.8421052631578947,0.07894736842105263,0.07894736842105263,0.5,0.42105263157894735,0.07894736842105263,1,1,1,LowVerify,1
29,0.5625,0.65625,0.25,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.4871794871794872,0.43589743589743596,0.07692307692307693,1,1,1,LowVerify,1
30,0.5757575757575758,0.6666666666666666,0.2727272727272727,0.85,0.07500000000000001,0.07500000000000001,0.47500000000000003,0.45000000000000007,0.07500000000000001,1,1,1,LowVerify,1
31,0.5882352941176471,0.6764705882352942,0.29411764705882354,0.8536585365853658,0.07317073170731708,0.07317073170731708,0.4634146341463415,0.4634146341463415,0.07317073170731708,1,1,1,LowVerify,1
32,0.6,0.6857142857142857,0.3142857142857143,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.45238095238095244,0.47619047619047616,0.07142857142857142,1,1,1,LowVerify,1
33,0.6111111111111112,0.6944444444444444,0.3333333333333333,0.8604651162790697,0.06976744186046512,0.06976744186046512,0.441860465116279,0.4883720930232558,0.06976744186046512,1,1,1,LowVerify,1
