epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
10,0.339,0.3137931034482759,0.3473684210526316,0.35714285714285715,0.984,0.496551724137931,1.0614035087719298,1.6785714285714286,0.08,0.1310344827586207,0.06140350877192982,0.05,0.56335,0.9612500000000003,-0.8853699999999999,0.395,0.146,0.724,0.13,0.179,0.045,0.776,0.09463545798134429
11,0.322,0.3137931034482759,0.33157894736842103,0.3,0.986,0.5172413793103449,1.0578947368421052,1.6642857142857144,0.082,0.10689655172413794,0.07894736842105263,0.04285714285714286,0.54383,0.9571500000000004,-0.8844799999999998,0.401,0.14,0.734,0.126,0.183,0.047,0.77,0.09416228069143756
12,0.287,0.25517241379310346,0.30350877192982456,0.2857142857142857,0.984,0.5206896551724138,1.0543859649122806,1.6571428571428573,0.062,0.07241379310344828,0.06666666666666667,0.02142857142857143,0.5326799999999999,0.9540500000000003,-0.9108499999999999,0.383,0.139,0.738,0.123,0.182,0.048,0.77,0.09369146928798038
13,0.31,0.30689655172413793,0.3192982456140351,0.2785714285714286,0.996,0.5586206896551724,1.0543859649122806,1.6642857142857144,0.063,0.1,0.054385964912280704,0.02142857142857143,0.51869,0.9509000000000002,-0.9190099999999999,0.407,0.128,0.748,0.124,0.193,0.047,0.76,0.09322301194154048
14,0.324,0.296551724137931,0.34210526315789475,0.30714285714285716,1.007,0.5724137931034483,1.068421052631579,1.6571428571428573,0.073,0.10344827586206896,0.06842105263157895,0.02857142857142857,0.49915000000000004,0.9472500000000004,-0.91446,0.426,0.124,0.745,0.131,0.205,0.048,0.747,0.09275689688183278
15,0.316,0.2896551724137931,0.3298245614035088,0.3142857142857143,1.019,0.603448275862069,1.0736842105263158,1.6571428571428573,0.078,0.12413793103448276,0.06491228070175438,0.03571428571428571,0.48564999999999997,0.9433500000000004,-0.9275,0.439,0.115,0.751,0.134,0.217,0.048,0.735,0.09229311239742362
16,0.291,0.2206896551724138,0.32456140350877194,0.3,1.026,0.6172413793103448,1.0824561403508772,1.6428571428571428,0.073,0.10344827586206896,0.06666666666666667,0.03571428571428571,0.47503999999999996,0.9397000000000005,-0.9423899999999998,0.437,0.111,0.752,0.137,0.226,0.05,0.724,0.0918316468354365
17,0.282,0.2413793103448276,0.2982456140350877,0.3,1.033,0.6482758620689655,1.0789473684210527,1.6428571428571428,0.05,0.06206896551724138,0.04912280701754386,0.02857142857142857,0.46624,0.9372000000000004,-0.9742,0.448,0.102,0.763,0.135,0.233,0.05,0.717,0.09137248860125932
18,0.288,0.23103448275862068,0.3087719298245614,0.32142857142857145,1.041,0.6655172413793103,1.0859649122807018,1.6357142857142857,0.07,0.09655172413793103,0.06842105263157895,0.02142857142857143,0.44826,0.9337000000000003,-0.95302,0.46,0.097,0.765,0.138,0.242,0.051,0.707,0.09091562615825302
19,0.264,0.18275862068965518,0.2964912280701754,0.3,1.025,0.6724137931034483,1.0526315789473684,1.6428571428571428,0.049,0.05862068965517241,0.05087719298245614,0.02142857142857143,0.43973,0.9312500000000006,-0.96747,0.408,0.095,0.785,0.12,0.225,0.05,0.725,0.09046104802746176
